No config path provided, using default 'drizzle.config.ts'
Reading config file '/private/tmp/cwt-stage4a-snapshot-review.dldJwoGB/drizzle.config.ts'
60 tables
analytics_consents 7 columns 1 indexes 0 fks
conversion_events 22 columns 4 indexes 0 fks
ai_model_config 21 columns 3 indexes 3 fks
ai_runs 96 columns 15 indexes 8 fks
asset_tag_assignments 2 columns 0 indexes 2 fks
asset_tags 3 columns 1 indexes 0 fks
asset_upload_batches 12 columns 0 indexes 2 fks
asset_variants 9 columns 1 indexes 1 fks
assets 51 columns 6 indexes 4 fks
application_localizations 5 columns 0 indexes 1 fks
applications 8 columns 0 indexes 1 fks
fabric_library_entries 8 columns 0 indexes 2 fks
fabric_library_entry_applications 2 columns 0 indexes 2 fks
fabric_library_entry_assets 4 columns 0 indexes 2 fks
fabric_library_entry_localizations 4 columns 0 indexes 1 fks
fabric_library_entry_products 2 columns 0 indexes 2 fks
product_applications 2 columns 0 indexes 2 fks
product_assets 7 columns 1 indexes 2 fks
product_faqs 6 columns 0 indexes 1 fks
product_features 5 columns 0 indexes 1 fks
product_field_reviews 6 columns 1 indexes 2 fks
product_localizations 8 columns 0 indexes 1 fks
product_tag_assignments 2 columns 0 indexes 2 fks
product_tags 3 columns 1 indexes 0 fks
product_taxonomy_terms 3 columns 2 indexes 2 fks
products 31 columns 2 indexes 3 fks
taxonomy_term_localizations 4 columns 0 indexes 1 fks
taxonomy_terms 9 columns 3 indexes 1 fks
authors 9 columns 0 indexes 1 fks
content_assets 8 columns 1 indexes 2 fks
content_localizations 8 columns 0 indexes 1 fks
contents 12 columns 2 indexes 3 fks
editorial_revisions 12 columns 2 indexes 2 fks
contacts 9 columns 2 indexes 1 fks
customer_activities 9 columns 2 indexes 3 fks
finalize_object_manifest_items 18 columns 2 indexes 3 fks
inquiries 33 columns 5 indexes 2 fks
inquiry_assets 2 columns 0 indexes 2 fks
inquiry_status_history 7 columns 1 indexes 2 fks
notification_outbox 17 columns 3 indexes 0 fks
object_cleanup_jobs 29 columns 6 indexes 5 fks
organizations 6 columns 0 indexes 0 fks
upload_intents 24 columns 5 indexes 4 fks
upload_recovery_jobs 22 columns 4 indexes 3 fks
audit_logs 11 columns 3 indexes 1 fks
auth_sessions 6 columns 3 indexes 1 fks
company_facts 13 columns 1 indexes 1 fks
users 9 columns 1 indexes 0 fks
product_import_batches 17 columns 2 indexes 5 fks
product_import_items 19 columns 4 indexes 4 fks
internal_link_relations 6 columns 1 indexes 2 fks
keyword_page_mappings 8 columns 2 indexes 2 fks
redirects 9 columns 2 indexes 1 fks
routes 8 columns 3 indexes 0 fks
seo_metadata 13 columns 1 indexes 3 fks
seo_topic_members 3 columns 0 indexes 2 fks
seo_topics 7 columns 1 indexes 0 fks
feature_flags 6 columns 1 indexes 1 fks
site_page_assets 15 columns 3 indexes 2 fks
system_settings 6 columns 1 indexes 1 fks

No schema changes, nothing to migrate 😴
